---------------------------------------------------------------------------
        ENZYME nomenclature database
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
---------------------------------------------------------------------------

Description: ENZYME class hierarchy
Name:        enzclass.txt
Release:     31-Jul-2019

---------------------------------------------------------------------------

1. -. -.-  Oxidoreductases.
1. 1. -.-   Acting on the CH-OH group of donors.
1. 1. 1.-    With NAD(+) or NADP(+) as acceptor.
1. 1. 2.-    With a cytochrome as acceptor.
1. 1. 3.-    With oxygen as acceptor.
1. 1. 4.-    With a disulfide as acceptor.
1. 1. 5.-    With a quinone or similar compound as acceptor.
1. 1. 9.-    With a copper protein as acceptor.
1. 1.98.-    With other, known, acceptors.
1. 1.99.-    With other acceptors.
1. 2. -.-   Acting on the aldehyde or oxo group of donors.
1. 2. 1.-    With NAD(+) or NADP(+) as acceptor.
1. 2. 2.-    With a cytochrome as acceptor.
1. 2. 3.-    With oxygen as acceptor.
1. 2. 4.-    With a disulfide as acceptor.
1. 2. 5.-    With a quinone or similar compound as acceptor.
1. 2. 7.-    With an iron-sulfur protein as acceptor.
1. 2.98.-    With other, known, acceptors.
1. 2.99.-    With other acceptors.
1. 3. -.-   Acting on the CH-CH group of donors.
1. 3. 1.-    With NAD(+) or NADP(+) as acceptor.
1. 3. 2.-    With a cytochrome as acceptor.
1. 3. 3.-    With oxygen as acceptor.
1. 3. 4.-    With a disulfide as acceptor.
1. 3. 5.-    With a quinone or related compound as acceptor.
1. 3. 7.-    With an iron-sulfur protein as acceptor.
1. 3. 8.-    With a flavin as acceptor.
1. 3.98.-    With other, known, acceptors.
1. 3.99.-    With other acceptors.
1. 4. -.-   Acting on the CH-NH(2) group of donors.
1. 4. 1.-    With NAD(+) or NADP(+) as acceptor.
1. 4. 2.-    With a cytochrome as acceptor.
1. 4. 3.-    With oxygen as acceptor.
1. 4. 4.-    With a disulfide as acceptor.
1. 4. 5.-    With a quinone or similar compound as acceptor.
1. 4. 7.-    With an iron-sulfur protein as acceptor.
1. 4. 9.-    With a copper protein as acceptor.
1. 4.98.-    With other, known, acceptors.
1. 4.99.-    With other acceptors.
1. 5. -.-   Acting on the CH-NH group of donors.
1. 5. 1.-    With NAD(+) or NADP(+) as acceptor.
1. 5. 3.-    With oxygen as acceptor.
1. 5. 4.-    With a disulfide as acceptor.
1. 5. 5.-    With a quinone or similar compound as acceptor.
1. 5. 7.-    With an iron-sulfur protein as acceptor.
1. 5. 8.-    With a flavin as acceptor.
1. 5.98.-    With other, known, acceptors.
1. 5.99.-    With other acceptors.
1. 6. -.-   Acting on NADH or NADPH.
1. 6. 1.-    With NAD(+) or NADP(+) as acceptor.
